Month,Judet Destinatar OPS,Categorie Cerc Livrare,Localitate Destinatar,Tip Trimitere,Colet eligibil locker,Nr Total AWB
01,Bucuresti & Ilfov,Resedinta,1 Decembrie,Negre,Da,509
01,Vaslui,Cerc 1,1 Decembrie,Negre,Da,8
01,Constanta,Cerc 1,2 Mai,Negre,Da,54
01,Constanta,Cerc 1,23 August,Negre,Da,56
01,Mehedinti,Cerc 1,23 August,Negre,Da,1
01,Jász-Nagykun-Szolnok,Resedinta,Abádszalók,Negre,Da,3
01,Baranya,Resedinta,Abaliget,Negre,Da,1
01,Pest,Resedinta,Abony,Negre,Da,9
01,Bihor,Cerc 3,Abram,Negre,Da,8
01,Bihor,Cerc 1,Abramut,Negre,Da,2
01,Alba,Cerc 3,Abrud,Negre,Da,103
01,Alba,Cerc 3,Abrud-Sat,Negre,Da,1
01,Mures,Cerc 3,Abud,Negre,Da,2
01,Mures,Cerc 1,Abus,Negre,Da,2
01,Satu Mare,Cerc 3,Acas,Negre,Da,6
01,Mures,Cerc 1,Acatari,Negre,Da,7
01,Sibiu,Cerc 3,Aciliu,Negre,Da,2
01,Brasov,Cerc 3,Acris,Negre,Da,8
01,Komárom-Esztergom,Resedinta,Ács,Negre,Da,6
01,Pest,Resedinta,Acsa,Negre,Da,1
01,Salaj,Cerc 3,Adalin,Negre,Da,2
01,Galati,Cerc 3,Adam,Negre,Da,3
01,Constanta,Cerc 3,Adamclisi,Negre,Da,11
01,Mures,Cerc 1,Adamus,Negre,Da,11
01,Dambovita,Cerc 1,Adanca,Negre,Da,11
01,Suceava,Cerc 1,Adancata,Negre,Da,56
01,Ialomita,Cerc 3,Adancata,Negre,Da,15
01,Dolj,Cerc 1,Adancata,Negre,Da,1
01,Botosani,Cerc 1,Adaseni,Negre,Da,7
01,Arad,Cerc 3,Adea,Negre,Da,5
01,Vrancea,Cerc 1,Adjud,Negre,Da,418
01,Neamt,Cerc 1,Adjudeni,Negre,Da,46
01,Vrancea,Cerc 3,Adjudu Vechi,Negre,Da,8
01,Bihor,Cerc 3,Adoni,Negre,Da,3
01,Fejér,Resedinta,Adony,Negre,Da,8
01,Baranya,Resedinta,Adorjás,Negre,Da,1
01,Mures,Cerc 1,Adrian,Negre,Da,3
01,Satu Mare,Cerc 1,Adrian,Negre,Da,2
01,Prahova,Cerc 3,Adunati,Negre,Da,6
01,Arges,Cerc 3,Adunati,Negre,Da,2
01,Giurgiu,Cerc 1,Adunatii-Copaceni,Negre,Da,116
01,Valcea,Cerc 3,Afanata,Negre,Da,1
01,Arges,Cerc 3,Afrimesti,Negre,Da,2
01,Bucuresti & Ilfov,Resedinta,Afumati,Negre,Da,340
01,Dolj,Cerc 3,Afumati,Negre,Da,4
01,Olt,Cerc 3,Afumati,Negre,Da,1
01,Neamt,Cerc 1,Agapia,Negre,Da,12
01,Sibiu,Cerc 1,Agarbiciu,Negre,Da,6
01,Cluj,Cerc 1,Agarbiciu,Negre,Da,1
01,Neamt,Cerc 1,Agarcia,Negre,Da,2
01,Bacau,Cerc 3,Agas,Negre,Da,21
01,Borsod-Abaúj-Zemplén,Resedinta,Aggtelek,Negre,Da,1
01,Salaj,Cerc 1,Aghires,Negre,Da,4
