Locker Nume,Model,Adresa,Locker Oras,Longitudine,Latitudine,Data instalare,Capacitate locker,Zile inactivare Noiembrie 2025_x,Aprilie 2024,Mai 2024,Iunie 2024,Iulie 2024,August,Septembrie 2024,Octombrie 2025,Noiembrie 2024,Decembrie 2024,Ianuarie 2025,Februarie 2025,Martie 2025,Aprilie 2025,Mai 2025,Iunie 2025,Iulie 2025,August.1,Septembrie 2025,Octombrie 2025.1,Noiembrie 2025,Decembrie 2025,Zile inactivare Noiembrie 2025_y,Zile inactivare Decembrie 2025
easybox OMV Belu,Keba,"Sos. Oltenitei, Nr. 2",Sectorul 4,26.097853,44.402018,'2018-09-19 00:00:00',107.0,0,65.40%,58.30%,52.40%,48.80%,43.10%,25.60%,31.90%,71.80%,63.10%,49.20%,45.60%,43.50%,42.00%,40.80%,42.10%,35.20%,34.00%,42.50%,42.10%,73.80%,70.30%,,
easybox OMV Berceni,Modern Expo cu tabla EasyPost V1,"Str. Berceni, Nr. 8",Sectorul 4,26.124641,44.389929,'2018-09-19 00:00:00',63.0,2,114.20%,102.20%,109.00%,93.70%,99.10%,101.30%,96.70%,108.30%,102.60%,88.20%,83.60%,82.30%,82.30%,80.50%,79.70%,77.30%,67.20%,77.70%,78.00%,92.10%,83.90%,,
easybox OMV Pantelimon,Modern Expo cu tabla EasyPost V1,Sos. Pantelimon colt cu Pierre de Courbertin,Sectorul 2,26.150963,44.443113,'2018-09-19 00:00:00',81.0,3,94.20%,78.70%,73.40%,52.80%,48.80%,61.90%,71.30%,95.90%,84.80%,55.60%,53.60%,58.70%,66.40%,60.40%,54.90%,48.00%,42.60%,48.70%,46.40%,68.20%,61.80%,,
easybox OMV Vasile Milea,EasyPost v1,"Str. Vasile Milea, Nr. 5",Sectorul 6,26.056651,44.438381,'2018-09-19 00:00:00',63.0,5,21.50%,16.40%,18.80%,13.60%,10.90%,16.30%,27.00%,63.70%,28.10%,21.90%,26.00%,29.30%,24.00%,25.40%,22.40%,13.20%,7.80%,23.90%,36.70%,68.40%,46.90%,,
easybox OMV Iuliu Maniu,Modern Expo cu tabla EasyPost V1,"Bd. Iuliu Maniu, Nr. 396-400",Sectorul 6,25.995471,44.434291,'2018-09-19 00:00:00',63.0,3,88.50%,70.50%,78.70%,70.70%,54.60%,70.80%,72.70%,109.50%,94.40%,70.50%,69.50%,69.60%,76.70%,75.20%,72.00%,62.10%,51.80%,57.20%,60.50%,91.70%,76.40%,,
easybox OMV Titan,Modern Expo cu tabla EasyPost V1,"Bd. Nicolae Grigorescu, Nr. 2",Sectorul 3,26.160209,44.433166,'2018-09-19 00:00:00',45.0,8,129.60%,110.00%,109.80%,102.40%,98.70%,104.20%,115.90%,120.40%,110.30%,92.50%,100.90%,109.00%,127.30%,114.80%,126.50%,86.80%,97.70%,107.70%,101.80%,95.90%,101.90%,,
easybox OMV Rahova,Modern Expo cu tabla EasyPost V2,"Cal. Rahovei, Nr. 266A",Sectorul 5,26.075304,44.414397,'2018-09-19 00:00:00',63.0,2,54.30%,44.10%,48.50%,46.20%,38.20%,48.40%,48.60%,77.50%,60.70%,44.20%,41.50%,43.70%,48.00%,47.00%,45.80%,43.90%,40.80%,51.30%,52.60%,80.70%,64.20%,,
easybox OMV Cosbuc,Keba,"Str. Gazelei, Nr. 18-20",Sectorul 4,26.088854,44.420107,'2018-09-19 00:00:00',100.0,4,148.00%,124.20%,120.00%,130.60%,115.80%,79.20%,98.80%,113.00%,102.40%,92.80%,90.10%,86.30%,100.80%,91.20%,96.30%,84.50%,81.20%,87.10%,78.70%,83.10%,88.00%,,
easybox OMV Pipera,EasyPost v2,"Sos. Pipera-Tunari, Nr. 1-4",Sectorul 1,26.126473,44.493025,'2018-09-19 00:00:00',50.0,4,101.60%,93.70%,104.70%,62.30%,67.50%,88.70%,97.00%,97.10%,91.70%,63.70%,72.90%,70.50%,72.60%,71.30%,76.00%,58.80%,52.10%,63.50%,71.70%,61.50%,84.60%,,
easybox Petrom Baneasa,EasyPost v1,"Sos. Bucuresti-Ploiesti, Nr.2",Sectorul 1,26.078807,44.486999,'2018-09-19 00:00:00',45.0,0,31.00%,23.00%,33.00%,28.00%,22.70%,25.00%,27.70%,54.00%,35.60%,25.30%,21.30%,22.90%,28.20%,22.70%,25.80%,24.80%,23.40%,26.60%,26.00%,42.50%,34.30%,,
