Judet,Localitate,Populatie 
ALBA,MUNICIPIUL ALBA IULIA,64227
ALBA,MUNICIPIUL AIUD,21307
ALBA,MUNICIPIUL BLAJ,17816
ALBA,MUNICIPIUL SEBE?,26490
ALBA,ORA? ABRUD,4360
ALBA,ORA? BAIA DE ARIE?,3035
ALBA,ORA? CÂMPENI,6569
ALBA,ORA? CUGIR,19473
ALBA,ORA? OCNA MURE?,12480
ALBA,ORA? TEIU?,6308
ALBA,ORA? ZLATNA,6652
ALBA,ALBAC,1846
ALBA,ALMA?U MARE,1048
ALBA,ARIE?ENI,1464
ALBA,AVRAM IANCU,1271
ALBA,BERGHIN,1672
ALBA,BISTRA,4340
ALBA,BLANDIANA,818
ALBA,BUCERDEA GRÂNOASA,2169
ALBA,BUCIUM,1272
ALBA,CÂLNIC,1810
ALBA,CENADE,1031
ALBA,CERGAU,1509
ALBA,CERU-BACAIN?I,227
ALBA,CETATEA DE BALTA,2792
ALBA,CIUGUD,3285
ALBA,CIURULEASA,1110
ALBA,CRACIUNELU DE JOS,1954
ALBA,CRICAU,1879
ALBA,CUT,1054
ALBA,DAIA ROMÂNA,3051
ALBA,DO?TAT,980
ALBA,FARAU,1303
ALBA,GALDA DE JOS,4373
ALBA,GÂRBOVA,1867
ALBA,GÂRDA DE SUS,1415
ALBA,HOPÂRTA,1128
ALBA,HOREA,1774
ALBA,IGHIU,6543
ALBA,ÂNTREGALDE,459
ALBA,JIDVEI,5020
ALBA,LIVEZILE,1041
ALBA,LOPADEA NOUA,2359
ALBA,LUNCA MURE?ULUI,2297
ALBA,LUP?A,2732
ALBA,METE?,2564
ALBA,MIHAL?,3096
ALBA,MIRASLAU,1805
ALBA,MOGO?,647
ALBA,NO?LAC,1625
ALBA,OCOLI?,479
ALBA,OHABA,538
ALBA,PIANU,3375
ALBA,POIANA VADULUI,942
ALBA,PONOR,475
ALBA,PO?AGA,835
ALBA,RADE?TI,1175
ALBA,RÂME?,426
ALBA,RÂMETEA,1015
ALBA,RO?IA DE SECA?,1405
ALBA,RO?IA MONTANA,2428
ALBA,SALCIUA,1271
ALBA,SALI?TEA,2155
ALBA,SÂNCEL,2255
ALBA,SÂNTIMBRU,3032
